Date,Geyser,time,duration,,,,,,,,,,
1/1/1979,Old Faithful,8:52,2:15,,,,,,,,,,
1/1/1979,Old Faithful,9:48,~4 3/4 min,,,,,,,,,,
1/1/1979,Old Faithful,11:05,~2:30,,,,,,,,,,
1/1/1979,Old Faithful,12:13,~4:15,,,,,,,,,,
1/1/1979,Old Faithful,13:37,~2 min.,,,,,,,,,,
1/1/1979,Old Faithful,14:24,4:22,,,,,,,,,,
1/1/1979,Old Faithful,15:38,,,,,,,,,,,
1/1/1979,Old Faithful,17:03,4:16,,,,,,,,,,
1/2/1979,Old Faithful,9:30,4:10,,,,,,,,,,
1/2/1979,Old Faithful,10:55,4:08,,,,,,,,,,
1/2/1979,Old Faithful,12:06,4:16,,,,,,,,,,
1/2/1979,Old Faithful,13:30,4:07,,,,,uhj,,,,,./y'G
1/2/1979,Old Faithful,14:50,4:02,,,,,,,,,,
1/2/1979,Old Faithful,15:58,4:20,,,,,,,,,,
1/2/1979,Old Faithful,17:12,4:30,,,,,,,,,,
1/3/1979,Old Faithful,8:44,4:36,,,,,,,,,,
1/3/1979,Old Faithful,10:04,1:57,,,,,,,,,,
1/3/1979,Old Faithful,10:56,,,,,,,,,,,
1/3/1979,Old Faithful,12:19,~3 1/2,,,,,,,,,,
1/3/1979,Old Faithful,13:27,~3:50,,,,,,,,,,
1/3/1979,Old Faithful,14:35,4:30,,,,,,,,,,
1/3/1979,Old Faithful,16:00,3:38,,,,,,,,,,
1/3/1979,Old Faithful,17:19,4:36,,,,,,,,,,
1/4/1979,Old Faithful,8:16,~3:04,,,,,,,,,,
1/4/1979,Old Faithful,9:37,4:11,,,,,,,,,,
1/4/1979,Old Faithful,10:56,2:04,,,,,,,,,,
1/4/1979,Old Faithful,11:46,4:28,,,,,,,,,,
1/4/1979,Old Faithful,13:18,1:52,,,,,,,,,,
1/4/1979,Old Faithful,14:03,4:28,,,,,,,,,,
1/4/1979,Old Faithful,15:24,4 1/4,,,,,,,,,,
1/4/1979,Old Faithful,16:47,~4:15,,,,,,,,,,
1/5/1979,Old Faithful,9:23,4:14,,,,,,,,,,
1/5/1979,Old Faithful,10:39,~2:22,,,,,,,,,,
1/5/1979,Old Faithful,11:58,~ 4 1/4,,,,,,,,,,
1/5/1979,Old Faithful,13:08,~4:15,,,,,,,,,,
1/5/1979,Old Faithful,14:23,4:01,,,,,,,,,,
1/5/1979,Old Faithful,15:43,~4:00,,,,,,,,,,
1/5/1979,Old Faithful,16:55,4:24,,,,,,,,,,
1/6/1979,Old Faithful,8:42,~2:00,,,,,,,,,,
1/6/1979,Old Faithful,9:25,~3:41,,,,,,,,,,
1/6/1979,Old Faithful,10:59,4:08,,,,,,,,,,
1/6/1979,Old Faithful,12:09,4:11,,,,,,,,,,
1/6/1979,Old Faithful,13:16,~4:00,,,,,,,,,,
1/6/1979,Old Faithful,14:25,1:58,,,,,,,,,,
1/6/1979,Old Faithful,15:13,4:47,,,,,,,,,,
1/6/1979,Old Faithful,16:38,4:35,,,,,,,,,,
1/7/1979,Old Faithful,7:25,~3:00,,,,,,,,,,
1/7/1979,Old Faithful,8:38,4:28,,,,,,,,,,
1/7/1979,Old Faithful,9:55,~2:00,,,,,,,,,,
1/7/1979,Old Faithful,10:55,4:04,,,,,,,,,,
1/7/1979,Old Faithful,12:16,4:13,,,,,,,,,,
1/7/1979,Old Faithful,13:36,4:12,,,,,,,,,,
1/7/1979,Old Faithful,14:47,2:26,,,,,,,,,,
1/7/1979,Old Faithful,15:42,4:20,,,,,,,,,,
1/7/1979,Old Faithful,17:02,~4:00,,,,,,,,,,
1/8/1979,Old Faithful,7:54,~2:00,,,,,,,,,,
1/8/1979,Old Faithful,8:39,4:35,,,,,,,,,,
1/8/1979,Old Faithful,10:01,2:20,,,,,,,,,,
1/8/1979,Old Faithful,10:54,3:53,,,,,,,,,,
1/8/1979,Old Faithful,12:20,~3:30,,,,,,,,,,
1/8/1979,Old Faithful,13:38,1:58,,,,,,,,,,
1/8/1979,Old Faithful,14:24,4:23,,,,,,,,,,
1/8/1979,Old Faithful,15:52,3:51,,,,,,,,,,
1/8/1979,Old Faithful,16:55,4:26,,,,,,,,,,
1/9/1979,Old Faithful,8:35,~4:00,,,,,,,,,,
1/9/1979,Old Faithful,9:58,~4:00,,,,,,,,,,
