Date,Geyser,    Time, Duration
1/1/1981,Old Faithful,9:04,2:12
1/1/1981,Old Faithful,9:52, ~4:26
1/1/1981,Old Faithful,11:21,1:58
1/1/1981,Old Faithful,12:13p, ~4:32
1/1/1981,Old Faithful,13:34p, 4:43?
1/1/1981,Old Faithful,14:38p, ~3:56
1/1/1981,Old Faithful,16:05p,2:07
1/1/1981,Old Faithful,16:51p,4:43
1/2/1981,Old Faithful,9:18,2:12
1/2/1981,Old Faithful,10:12, ~4:00
1/2/1981,Old Faithful,11:36,1:45
1/2/1981,Old Faithful,12:31,4:33
1/2/1981,Old Faithful,13:59,4:15
1/2/1981,Old Faithful,15:26,2:03
1/2/1981,Old Faithful,16:06, long
1/2/1981,Old Faithful,17:19,4:05
1/3/1981,Old Faithful,8:43, short
1/3/1981,Old Faithful,9:47,4:39
1/3/1981,Old Faithful,11:02,4:16
1/3/1981,Old Faithful,12:18,4:25
1/3/1981,Old Faithful,13:41,2:01
1/3/1981,Old Faithful,14:32, ~4:00
1/3/1981,Old Faithful,15:52,2:10
1/3/1981,Old Faithful,16:47,4:36
1/3/1981,Old Faithful,18:10,2:24
1/4/1981,Old Faithful,6:59,short VR
1/4/1981,Old Faithful,9:17,4:19
1/4/1981,Old Faithful,10:34, ~2:00
1/4/1981,Old Faithful,11:24,4:11
1/4/1981,Old Faithful,12:47,1:47
1/4/1981,Old Faithful,13:51,4:27
1/4/1981,Old Faithful,15:07,1:58
1/4/1981,Old Faithful,16:11,4:45
1/4/1981,Old Faithful,17:31, long
1/5/1981,Old Faithful,9:26,2:09
1/5/1981,Old Faithful,10:23,4:25
1/5/1981,Old Faithful,11:45,4:31
1/5/1981,Old Faithful,13:00,4:01
1/5/1981,Old Faithful,14:20,4:23
1/5/1981,Old Faithful,15:39,1:48
1/5/1981,Old Faithful,16:32,4:46
1/5/1981,Old Faithful,17:51,1:57
1/6/1981,Old Faithful,9:05,4:03
1/6/1981,Old Faithful,10:21,3:58
1/6/1981,Old Faithful,11:33,2:19
1/6/1981,Old Faithful,12:41,4:14
1/6/1981,Old Faithful,14:00,3:23
1/6/1981,Old Faithful,15:09,4:18
1/6/1981,Old Faithful,16:20,4:06
1/6/1981,Old Faithful,17:52,2:13
1/7/1981,Old Faithful,8:55,
1/7/1981,Old Faithful,10:22,2:01
1/7/1981,Old Faithful,11:12,4:50
1/7/1981,Old Faithful,12:40,1:49
1/7/1981,Old Faithful,13:28,4:52
1/7/1981,Old Faithful,14:59,1:46
1/7/1981,Old Faithful,15:42,3:01
1/7/1981,Old Faithful,16:57,3:59
1/7/1981,Old Faithful,18:09,3:06
1/8/1981,Old Faithful,9:16,4:18
1/8/1981,Old Faithful,10:54,2:03
1/8/1981,Old Faithful,11:36,4:37
1/8/1981,Old Faithful,12:50,1:44
1/8/1981,Old Faithful,13:48,4:17
1/8/1981,Old Faithful,15:05,4:12
1/8/1981,Old Faithful,16:14,3:47
1/8/1981,Old Faithful,17:39,4:08
1/9/1981,Old Faithful,8:38, ~2:38
1/9/1981,Old Faithful,9:34,4:12
1/9/1981,Old Faithful,10:52,2:10
1/9/1981,Old Faithful,11:39,4:35
1/9/1981,Old Faithful,13:01,1:54
1/9/1981,Old Faithful,14:02, 2:45?
1/9/1981,Old Faithful,15:27,1:40
1/9/1981,Old Faithful,16:17,4:17
1/9/1981,Old Faithful,17:42,1:18
1/10/1981,Old Faithful,8:28,1:50
1/10/1981,Old Faithful,9:20,4:59
1/10/1981,Old Faithful,10:45,4:18
1/10/1981,Old Faithful,12:02,2:06
1/10/1981,Old Faithful,13:07,4:07
1/10/1981,Old Faithful,14:29,1:40
1/10/1981,Old Faithful,15:15,4:24
1/10/1981,Old Faithful,16:37,2:05
1/11/1981,Old Faithful,9:33, ~4:00
1/11/1981,Old Faithful,10:52,3:51
1/11/1981,Old Faithful,12:25,4:33
1/11/1981,Old Faithful,13:39,2:10
1/11/1981,Old Faithful,14:33,4:32
1/11/1981,Old Faithful,15:53,3:53
1/11/1981,Old Faithful,17:07,4:10
1/12/1981,Old Faithful,8:52,1:59
1/12/1981,Old Faithful,9:53,4:30
1/12/1981,Old Faithful,11:13,4:25
