eruptionID,waiting_min,dur,labels
1090262,84.0,3.51,0
1090263,80.0,4.16,0
1090264,71.0,4.11,0
1090265,89.0,4.0,0
1090266,55.0,2.3,1
1090267,93.0,4.3,0
1090268,47.0,1.53,1
1090269,95.0,4.41,0
1090327,56.0,1.45,1
1090328,93.0,4.17,0
1090329,54.0,2.14,1
1090330,90.0,4.47,0
1090331,55.0,2.01,1
1090332,82.0,4.34,0
1090333,62.0,2.0,1
1090365,51.0,1.49,1
1090366,85.0,4.44,0
1090367,64.0,2.0,1
1090368,86.0,4.35,0
1090369,52.0,1.47,1
1090370,92.0,4.49,0
1090371,55.0,1.29,1
1090399,60.0,1.53,1
1090400,86.0,4.45,0
1090401,61.0,1.51,1
1090402,90.0,4.25,0
1090403,55.0,2.07,1
1090404,81.0,4.35,0
1090405,75.0,3.0,0
1090447,59.0,1.55,1
1090448,91.0,4.18,0
1090449,48.0,1.48,1
1090450,89.0,4.35,0
1090451,49.0,1.47,1
1090452,99.0,4.0,0
1090453,53.0,1.43,1
1090479,74.0,4.15,0
1090480,57.0,1.51,1
1090482,81.0,4.06,0
1090483,52.0,2.02,1
1090484,88.0,4.43,0
1090485,55.0,2.13,1
1090486,96.0,4.38,0
1090513,89.0,4.06,0
1090514,58.0,1.41,1
1090515,80.0,4.37,0
1090519,94.0,4.32,0
1090563,88.0,4.02,0
1090564,55.0,1.26,1
1090565,85.0,4.27,0
1090566,61.0,1.5,1
1090567,91.0,4.32,0
1090568,65.0,1.46,1
1090569,80.0,4.38,0
1090570,77.0,3.58,0
1090571,78.0,3.41,0
1090754,85.0,3.05,0
1090755,63.0,1.41,1
1090756,81.0,4.33,0
1090757,85.0,4.11,0
1090758,72.0,3.53,0
1090759,84.0,3.59,0
1090760,58.0,1.58,1
1090775,75.0,4.05,0
1090776,80.0,3.16,0
1090777,76.0,4.3,0
1090778,81.0,3.44,0
1090779,76.0,4.16,0
1090792,71.0,2.5,1
1090794,80.0,4.15,0
1090795,51.0,1.5,1
1090796,88.0,4.52,0
1090797,56.0,2.04,1
1090798,89.0,4.47,0
1090811,50.0,1.54,1
1090812,85.0,4.21,0
1090813,57.0,1.54,1
1090814,87.0,4.28,0
1090815,60.0,1.46,1
