eruptionID,year,waiting_min,dur
23132,1970,71.0,4.0
23133,1970,50.0,1.5
23134,1970,67.0,4.25
23135,1970,81.0,4.0
23136,1970,43.0,1.75
23137,1970,70.0,4.5
23138,1970,66.0,4.0
23139,1970,69.0,4.0
23145,1970,70.0,4.0
23146,1970,44.0,2.0
23147,1970,88.0,4.25
23148,1970,46.0,1.75
23150,1970,66.0,4.0
23152,1970,54.0,2.25
23153,1970,75.0,4.0
23154,1970,49.0,2.0
23155,1970,75.0,4.25
23158,1970,55.0,2.5
23159,1970,69.0,4.5
23167,1970,88.0,3.0
23168,1970,38.0,2.0
23169,1970,83.0,4.0
23170,1970,58.0,2.0
23175,1970,72.0,2.5
23176,1970,63.0,2.75
23177,1970,142.0,4.5
23178,1970,65.0,2.25
23180,1970,74.0,4.0
23181,1970,59.0,2.0
23186,1970,69.0,4.5
23187,1970,147.0,4.15
23188,1970,120.0,2.0
23189,1970,58.0,3.5
23190,1970,71.0,4.0
23482,1970,80.0,4.0
23483,1970,44.0,2.0
23484,1970,72.0,4.5
23491,1970,68.0,4.0
23492,1970,49.0,2.0
23493,1970,90.0,4.5
23494,1970,45.0,2.0
23532,1970,61.0,4.0
23533,1970,66.0,4.5
23534,1970,58.0,2.0
23535,1970,75.0,4.0
23536,1970,47.0,2.0
23537,1970,70.0,4.5
23538,1970,73.0,4.0
23539,1970,47.0,2.0
23552,1970,75.0,4.5
23651,1970,71.0,4.25
23652,1970,44.0,4.25
23653,1970,71.0,4.0
23654,1970,50.0,2.0
23655,1970,73.0,4.0
23656,1970,72.0,4.0
23657,1970,49.0,2.0
23659,1970,77.0,4.0
23660,1970,54.0,2.0
23661,1970,70.0,4.0
23662,1970,79.0,4.0
23663,1970,54.0,2.25
23664,1970,80.0,4.0
23665,1970,63.0,4.0
23669,1970,43.0,2.0
23670,1970,83.0,4.0
23671,1970,44.0,2.0
23672,1970,72.0,4.25
23673,1970,61.0,4.0
23674,1970,66.0,4.0
23675,1970,60.0,2.75
23676,1970,81.0,4.5
23679,1970,64.0,2.75
23680,1970,69.0,4.5
23681,1970,125.0,2.0
23682,1970,43.0,2.0
23684,1970,46.0,2.0
23685,1970,73.0,4.0
23686,1970,44.0,2.0
23687,1970,126.0,4.0
23688,1970,76.0,4.0
23689,1970,46.0,1.75
23690,1970,72.0,4.25
23693,1970,76.0,4.25
23694,1970,60.0,2.25
23695,1970,73.0,4.0
23696,1970,50.0,2.0
