eruptionID,waiting_min,dur,labels
23132,71.0,4.0,1
23133,50.0,1.5,0
23134,67.0,4.25,1
23135,81.0,4.0,1
23136,43.0,1.75,0
23137,70.0,4.5,1
23138,66.0,4.0,1
23139,69.0,4.0,1
23145,70.0,4.0,1
23146,44.0,2.0,0
23147,88.0,4.25,1
23148,46.0,1.75,0
23150,66.0,4.0,1
23152,54.0,2.25,0
23153,75.0,4.0,1
23154,49.0,2.0,0
23155,75.0,4.25,1
23158,55.0,2.5,0
23159,69.0,4.5,1
23167,88.0,3.0,1
23168,38.0,2.0,0
23169,83.0,4.0,1
23170,58.0,2.0,0
23175,72.0,2.5,1
23176,63.0,2.75,1
23178,65.0,2.25,0
23180,74.0,4.0,1
23181,59.0,2.0,0
23186,69.0,4.5,1
23189,58.0,3.5,1
23190,71.0,4.0,1
23482,80.0,4.0,1
23483,44.0,2.0,0
23484,72.0,4.5,1
23491,68.0,4.0,1
23492,49.0,2.0,0
23493,90.0,4.5,1
23494,45.0,2.0,0
23532,61.0,4.0,1
23533,66.0,4.5,1
23534,58.0,2.0,0
23535,75.0,4.0,1
23536,47.0,2.0,0
23537,70.0,4.5,1
23538,73.0,4.0,1
23539,47.0,2.0,0
23552,75.0,4.5,1
23651,71.0,4.25,1
23652,44.0,4.25,1
23653,71.0,4.0,1
23654,50.0,2.0,0
23655,73.0,4.0,1
23656,72.0,4.0,1
23657,49.0,2.0,0
23659,77.0,4.0,1
23660,54.0,2.0,0
23661,70.0,4.0,1
23662,79.0,4.0,1
23663,54.0,2.25,0
23664,80.0,4.0,1
23665,63.0,4.0,1
23669,43.0,2.0,0
23670,83.0,4.0,1
23671,44.0,2.0,0
23672,72.0,4.25,1
23673,61.0,4.0,1
23674,66.0,4.0,1
23675,60.0,2.75,1
23676,81.0,4.5,1
23679,64.0,2.75,1
23680,69.0,4.5,1
23682,43.0,2.0,0
23684,46.0,2.0,0
23685,73.0,4.0,1
23686,44.0,2.0,0
23688,76.0,4.0,1
23689,46.0,1.75,0
23690,72.0,4.25,1
23693,76.0,4.25,1
23694,60.0,2.25,0
23695,73.0,4.0,1
23696,50.0,2.0,0
23697,75.0,4.0,1
23698,51.0,1.75,0
23699,71.0,4.5,1
23700,76.0,3.5,1
23705,76.0,4.0,1
23706,49.0,2.25,0
23707,76.0,4.25,1
23708,58.0,2.75,0
23709,77.0,4.0,1
23710,51.0,2.25,0
23711,73.0,4.25,1
23712,53.0,2.0,0
23714,57.0,2.25,0
23715,75.0,4.25,1
23716,42.0,1.75,0
23717,80.0,4.25,1
23718,44.0,2.0,0
23719,72.0,4.0,1
23720,68.0,4.0,1
23723,78.0,3.25,1
23724,66.0,4.0,1
23725,75.0,4.0,1
23726,62.0,4.0,1
23727,68.0,4.25,1
23728,72.0,2.25,0
23729,47.0,2.0,0
23730,80.0,4.25,1
23731,57.0,3.0,1
23732,73.0,4.5,1
23733,69.0,4.0,1
23738,69.0,4.0,1
23739,53.0,2.0,0
23740,71.0,4.0,1
23742,66.0,2.75,1
23743,72.0,3.5,1
23744,49.0,2.0,0
23749,69.0,4.0,1
23750,45.0,2.75,0
23751,77.0,5.0,1
23753,61.0,3.25,1
23754,70.0,3.5,1
23755,60.0,4.0,1
23756,86.0,3.5,1
23762,70.0,4.5,1
23763,79.0,3.25,1
23764,66.0,4.0,1
23766,79.0,3.5,1
23767,65.0,3.75,1
23768,65.0,4.0,1
23769,75.0,3.0,1
23775,64.0,3.75,1
23776,66.0,3.0,1
23777,64.0,3.5,1
23778,76.0,4.0,1
23779,55.0,2.25,0
23780,73.0,3.25,1
23781,57.0,2.5,0
23786,69.0,3.5,1
23787,53.0,2.75,0
23788,75.0,3.75,1
23790,55.0,2.25,0
23791,78.0,3.25,1
23792,49.0,2.25,0
23797,65.0,3.5,1
23798,70.0,4.0,1
23799,46.0,2.0,0
23800,76.0,4.0,1
23801,51.0,2.0,0
23802,72.0,4.0,1
23803,48.0,2.0,0
23804,74.0,4.0,1
23805,45.0,2.0,0
23810,67.0,3.75,1
23811,49.0,2.25,0
23812,76.0,4.25,1
23813,45.0,1.75,0
23814,87.0,4.25,1
23815,50.0,2.0,0
23816,77.0,3.75,1
23817,57.0,2.0,0
23822,55.0,2.25,0
23823,73.0,4.0,1
23824,50.0,2.0,0
23826,95.0,3.25,1
23827,40.0,2.75,0
23828,72.0,3.5,1
23835,66.0,4.0,1
23836,70.0,3.5,1
23837,67.0,3.5,1
23838,48.0,2.25,0
23839,83.0,4.0,1
23840,51.0,1.75,0
23841,82.0,4.5,1
23842,62.0,4.0,1
23843,58.0,2.17,0
23849,67.0,4.0,1
23850,56.0,2.5,0
23851,80.0,4.0,1
23852,52.0,1.75,0
23853,71.0,4.25,1
23854,51.0,2.25,0
23855,75.0,4.5,1
23856,53.0,2.0,0
23857,74.0,3.75,1
23864,56.0,2.75,0
23865,70.0,4.5,1
23866,54.0,2.0,0
23867,70.0,5.0,1
23868,49.0,2.0,0
23869,84.0,5.0,1
23870,47.0,2.25,0
23871,69.0,2.5,0
23877,51.0,3.5,1
23876,22.0,4.0,1
23878,54.0,3.0,1
23879,75.0,4.5,1
23880,53.0,2.25,0
23881,69.0,5.0,1
23882,72.0,4.0,1
23883,72.0,3.75,1
23895,70.0,4.5,1
23896,49.0,2.5,0
23897,79.0,4.75,1
23898,43.0,1.75,0
23899,78.0,4.5,1
23900,46.0,2.25,0
23901,70.0,3.5,1
23902,53.0,3.75,1
23903,76.0,3.75,1
23907,72.0,3.5,1
23908,63.0,2.75,1
23909,74.0,4.25,1
23910,54.0,2.0,0
23911,77.0,3.75,1
23912,45.0,2.0,0
23913,70.0,4.5,1
23914,71.0,4.0,1
23917,71.0,3.5,1
23918,72.0,3.75,1
23919,61.0,3.5,1
23920,67.0,4.0,1
23921,69.0,3.25,1
23922,68.0,3.75,1
23923,68.0,3.0,1
23924,56.0,2.5,0
23932,50.0,1.75,0
23933,75.0,3.5,1
23934,45.0,2.0,0
23935,71.0,4.0,1
23937,66.0,3.25,1
23938,63.0,3.75,1
23939,51.0,2.75,0
23955,65.0,2.75,1
23956,77.0,3.0,1
23957,46.0,1.5,0
23958,73.0,4.0,1
23959,79.0,4.0,1
23960,41.0,2.25,0
23961,78.0,4.25,1
23966,47.0,2.0,0
23967,72.0,4.0,1
23968,69.0,3.5,1
23969,72.0,4.0,1
23970,43.0,2.0,0
23971,78.0,4.0,1
23972,46.0,2.0,0
23973,73.0,4.0,1
23980,79.0,4.0,1
23981,46.0,2.0,0
23982,74.0,4.5,1
23983,48.0,1.5,0
23984,73.0,3.75,1
23985,55.0,2.0,0
23992,49.0,3.5,1
23993,90.0,4.25,1
23994,51.0,3.25,1
23995,71.0,3.25,1
23996,76.0,4.0,1
23997,65.0,4.0,1
23998,74.0,4.0,1
23999,68.0,4.0,1
24004,76.0,2.0,0
24005,70.0,3.75,1
24006,67.0,3.75,1
24007,85.0,3.5,1
24008,63.0,3.75,1
24009,80.0,4.5,1
24010,41.0,1.75,0
24011,83.0,4.25,1
24015,71.0,4.0,1
24016,48.0,2.0,0
24017,74.0,4.5,1
24018,64.0,3.25,1
24019,74.0,4.0,1
24020,61.0,3.5,1
24021,66.0,4.0,1
24022,65.0,3.0,1
24024,75.0,3.5,1
24025,56.0,2.0,0
24031,70.0,4.0,1
24032,75.0,4.0,1
24033,85.0,4.0,1
24034,63.0,4.0,1
24035,50.0,2.5,0
24036,77.0,3.5,1
24037,49.0,2.0,0
24038,73.0,4.5,1
24039,53.0,2.0,0
24040,67.0,4.0,1
24049,72.0,4.25,1
24050,53.0,1.75,0
24051,70.0,4.25,1
24052,45.0,2.0,0
24053,77.0,4.0,1
24054,51.0,2.0,0
24055,77.0,4.0,1
24056,49.0,2.0,0
24057,72.0,4.0,1
24058,49.0,1.75,0
24059,76.0,4.0,1
24068,75.0,3.75,1
24069,44.0,2.0,0
24070,80.0,4.5,1
24071,43.0,2.25,0
24072,85.0,4.0,1
24073,42.0,2.0,0
24074,76.0,4.0,1
24075,57.0,2.0,0
24076,70.0,4.5,1
24077,50.0,1.5,0
24083,72.0,4.0,1
24084,46.0,1.5,0
24086,107.0,2.0,1
24087,77.0,4.0,1
24088,46.0,2.0,0
24089,81.0,4.0,1
24090,46.0,2.0,0
24096,76.0,4.0,1
24097,47.0,2.5,0
24098,73.0,4.0,1
24099,48.0,2.0,0
24100,79.0,4.0,1
24101,72.0,4.0,1
24102,43.0,2.5,0
24103,74.0,4.0,1
24104,62.0,2.0,0
24105,71.0,4.25,1
24106,43.0,1.5,0
24107,70.0,4.5,1
24111,74.0,4.5,1
24112,50.0,2.0,0
24113,72.0,4.5,1
24114,73.0,4.0,1
24115,64.0,4.0,1
24116,80.0,4.0,1
24117,64.0,4.0,1
24118,70.0,2.25,0
24119,65.0,3.5,1
24120,69.0,3.75,1
24121,68.0,4.5,1
24124,72.0,4.25,1
24125,53.0,3.5,1
24126,77.0,4.25,1
24127,55.0,2.25,0
24128,69.0,2.5,0
24129,50.0,2.75,0
24130,80.0,1.5,0
24132,79.0,4.0,1
24133,54.0,2.0,0
24135,66.0,4.0,1
24136,44.0,2.0,0
24137,75.0,4.0,1
24138,73.0,3.5,1
24139,41.0,2.0,0
24140,83.0,4.5,1
24141,54.0,1.75,0
24142,68.0,4.25,1
24143,56.0,2.25,0
24150,73.0,3.5,1
24151,83.0,3.75,1
24152,44.0,2.75,0
24153,78.0,3.25,1
24154,63.0,2.75,1
24155,86.0,3.75,1
24156,48.0,2.0,0
24157,68.0,4.5,1
24158,53.0,2.25,0
24159,81.0,4.0,1
24168,77.0,3.5,1
24169,65.0,4.0,1
24170,65.0,3.75,1
24171,74.0,3.5,1
24172,56.0,1.75,0
24173,73.0,3.25,1
24174,48.0,2.75,0
24175,71.0,2.5,1
24176,51.0,2.75,0
24177,79.0,4.5,1
24178,52.0,1.75,0
24179,76.0,4.5,1
24188,49.0,2.0,0
24189,75.0,3.0,1
24190,54.0,1.5,0
24191,67.0,3.5,1
24192,48.0,2.5,0
24193,79.0,3.5,1
24194,50.0,1.75,0
24195,76.0,4.25,1
24196,48.0,1.75,0
24197,80.0,4.0,1
24198,41.0,1.75,0
24206,67.0,3.5,1
24207,51.0,2.0,0
